"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.268864110E-1,4.363425076E-2,4.772796482E-2,-7.955455780E-2,1.025223592E-1
4.316166720E-1,1.725214720E-2,3.294536471E-2,-3.844833374E-2,5.349119560E-2
4.363469840E-1,1.234960556E-2,3.960074484E-2,4.716682434E-2,6.281274606E-2
4.410772450E-1,3.584778309E-2,1.547582448E-2,3.008651733E-2,4.929262846E-2
4.458075570E-1,4.957374930E-2,5.899086595E-3,6.053733826E-2,7.846735096E-2
4.505378700E-1,2.294167876E-2,-4.379300773E-2,1.190805435E-1,1.289353481E-1
4.552681300E-1,1.079832017E-2,-2.433347702E-2,1.107263565E-1,1.138817275E-1
4.599984420E-1,3.201703727E-2,-1.700267196E-2,5.984497070E-2,6.996857900E-2
4.647287030E-1,2.699875832E-2,3.761378676E-2,-6.391811371E-2,7.892563060E-2
4.694590150E-1,2.206206322E-2,3.959932923E-2,-7.747650146E-2,8.976329867E-2
4.741892760E-1,2.899368107E-2,2.978283912E-2,-1.501226425E-1,1.557705327E-1
4.789195880E-1,2.401404083E-2,1.772597432E-2,-8.466148376E-2,8.976887632E-2
4.836498490E-1,1.905730367E-2,-3.743425012E-3,1.568126678E-2,2.496189460E-2
4.883801610E-1,-1.899124682E-2,-2.266004682E-2,1.624269485E-1,1.650959079E-1
4.931104740E-1,-4.248264432E-2,3.200623393E-2,1.442623138E-1,1.537556154E-1
4.978407340E-1,-1.795560122E-3,6.010925025E-2,1.191768646E-1,1.334895916E-1
5.025710470E-1,-1.786708832E-3,4.534550756E-2,8.249187469E-2,9.415050066E-2
5.073013070E-1,-1.805230975E-3,5.211461335E-2,6.986427307E-2,8.717917432E-2
5.120316200E-1,1.476947963E-2,3.506455570E-2,6.447124481E-2,7.486121828E-2
5.167618800E-1,1.451337337E-2,2.528741956E-2,8.047103882E-2,8.559018450E-2
5.214921920E-1,-4.678562284E-3,8.460924029E-3,6.788063049E-2,6.856570700E-2
5.262224530E-1,-1.424010098E-2,1.272395253E-3,-2.994728088E-2,3.318492275E-2
5.309527650E-1,-1.171997190E-2,4.868847132E-2,-9.844493866E-2,1.104505814E-1
5.356830260E-1,1.454642415E-2,5.065416545E-2,-1.473684311E-1,1.565084580E-1
5.404133380E-1,2.523615956E-3,6.918067485E-2,-4.408168793E-2,8.207027246E-2
5.451436510E-1,9.380280972E-5,3.059810400E-2,-2.709197998E-2,4.086842481E-2
5.498739110E-1,1.666124165E-2,2.790562809E-2,9.885978699E-2,1.040652609E-1
5.546042240E-1,2.588655055E-2,1.572504640E-3,9.801006317E-2,1.013832272E-1
5.593344840E-1,1.821279526E-3,-8.403509855E-4,8.531284332E-2,8.533641945E-2
5.640647970E-1,-6.029754877E-4,2.992680669E-2,1.341342926E-2,3.280087533E-2
